,timestamp,report_week,operability_icu,power_outage_equipment_failure_specify,power_generator_available,power_outage_mortatility,power_outage_deaths_count,mortality_hospital_failure_cardiovascular_count,mortality_hospital_failure_cardiovascular_cause,mortality_hospital_failure_trauma_count,mortality_hospital_failure_trauma_cause,strike_medical_staff_affected,strike_nurses_affected,operability_icu_p,strike_other_staff_affected,strike_patients_affected,strike_other_affected,staff_violence_affected_reasons,epidemiological_emergency_suspected_diseases,rrt_avail_high_flow_catheters,rrt_avail_blood_tests_hiv_hvb_hvc_vdr,rrt_avail_immediate_access_urea_reduction_bun,nCoV_face_mask_avail,nCoV_respiratory_isolation_protocol_avail,operability_er,nCoV_isolation_area_avail,operability_sx,operability_lab,operability_uls,operability_ct_mri,operability_xr,er_avail_adrenalin,er_avail_atropine,hospital_code,er_avail_dopamine,er_avail_cephalosporins_betalactams,er_avail_aminoglycosides_quinolone,er_avail_vancomycin_clindamycin,er_avail_lidocaine,er_avail_minor_opioids,er_avail_major_opioids,er_avail_iv_fluids,er_avail_diazepam_dph,er_avail_heparin,federal_entity,er_avail_steroids,er_avail_insulin,er_avail_asthma,er_avail_blood_pressure,er_avail_defibrillator,er_avail_ott_intubation,er_avail_catheter,er_avail_oxygen_suction,sx_avail_minor_opioids,sx_avail_major_opioids,hospital_type,sx_avail_anesthetic_gases,sx_avail_anesthetics_iv,sx_avail_relaxants,sx_avail_ott_intubation,sx_avail_patient_lingerie_kit,sx_avail_disposables_mask_gloves_gown,sx_avail_oxygen_suction,rrt_avail,rrt_operability,rrt_date_stopped_operability,administrative_entity,rrt_reason_stopped_operability,rrt_avg_daily_patients,rrt_peritoneal_count,rrt_peritoneal_reason_not_performed,rrt_num_hemodialysis,rrt_num_hemodialysis_acute,rrt_num_hemodialysis_chronic,rrt_num_hemodialysis_equipments,rrt_num_hemodialysis_equipments_operability,rrt_hemodialysis_avail_filter,arch_beds_count,rrt_hemodialysis_avail_lines,rrt_hemodialysis_avail_kit_hemodialysis,rrt_hemodialysis_avail_iron,rrt_hemodialysis_avail_b_complex,rrt_hemodialysis_avail_calcium,rrt_hemodialysis_avail_zemblar,rrt_reverse_osmosis_unit_operability,rrt_staff_nephrology,rrt_staff_md,rrt_staff_resident,op_beds_count,rrt_staff_nurse,rrt_staff_nurse_nephrologist,nutr_avail,nutr_operability,nutr_date_stopped_operability,nutr_reason_stopped_operability,nutr_num,nutr_daily_freq_meal,nutr_quality,nutr_freq_milk_formulas,op_beds_er_count,pneumonia_antibiotic_therapy_latency,mi_thrombolytic_treatment_latency,er_staff_residents_and_rural_day_on_call,er_staff_specialist_day_on_call,er_staff_mic_day_on_call,er_staff_nurse_day_on_call,er_staff_non_professional_nurse_day_on_call,er_staff_residents_and_rural_night_on_call,er_staff_specialist_night_on_call,er_staff_mic_night_on_call,op_pavilions_count,er_staff_nurse_night_on_call,er_staff_non_professional_nurse_night_on_call,wash_failure_icu,wash_failure_er,wahs_failure_sx,power_outage,power_outage_avg_failures_per_day,power_outage_days_count,power_outage_avg_duration,power_outage_equipment_failure,year_week,report_count,er_avail_adrenalin_ordinal,er_avail_atropine_ordinal,er_avail_dopamine_ordinal,er_avail_cephalosporins_betalactams_ordinal,er_avail_aminoglycosides_quinolone_ordinal,er_avail_vancomycin_clindamycin_ordinal,er_avail_lidocaine_ordinal,er_avail_minor_opioids_ordinal,er_avail_major_opioids_ordinal,er_avail_iv_fluids_ordinal,er_avail_diazepam_dph_ordinal,er_avail_heparin_ordinal,er_avail_steroids_ordinal,er_avail_insulin_ordinal,er_avail_asthma_ordinal,er_avail_blood_pressure_ordinal,er_avail_defibrillator_ordinal,er_avail_ott_intubation_ordinal,er_avail_catheter_ordinal,er_avail_oxygen_suction_ordinal,sx_avail_minor_opioids_ordinal,sx_avail_major_opioids_ordinal,sx_avail_anesthetic_gases_ordinal,sx_avail_anesthetics_iv_ordinal,sx_avail_relaxants_ordinal,sx_avail_ott_intubation_ordinal,sx_avail_patient_lingerie_kit_ordinal,sx_avail_disposables_mask_gloves_gown_ordinal,sx_avail_oxygen_suction_ordinal,medical_supply_summary,operability_icu_ordinal,operability_icu_p_ordinal,operability_er_ordinal,operability_sx_ordinal,operability_lab_ordinal,operability_uls_ordinal,operability_ct_mri_ordinal,operability_xr_ordinal,country
474,2019-07-26 23:44:09.503000+00:00,30 del 2019,No operativa,Aires acondicionado de banco de sangre,Hay pero no funciona,No,0.0,1.0,"Equipos, Medicamentos",2.0,"Equipos, Medicamentos",,,No operativa,,,,,Síndrome Gillan Barré,Entre 3 y 5 días,No hubo,Entre 3 y 5 días,,,Todos los días,,Todos los días,Todos los días,No operativa,Nunca ha existido,No operativa,No hubo,Todos los días,CAR000,Todos los días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Todos los días,Todos los días,No hubo,Todos los días,No hubo,No hubo,Carabobo,Entre 1 y 2 días,Entre 3 y 5 días,No hubo,No hubo,Entre 3 y 5 días,No hubo,Entre 1 y 2 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 1 y 2 días,Tipo IV,No hubo,No hubo,No hubo,Entre 3 y 5 días,No hubo,Entre 1 y 2 días,Entre 3 y 5 días,Sí,Sí,,IVSS,,4.0,2.0,,2.0,1.0,3.0,6.0,4.0,Entre 3 y 5 días,456,Entre 3 y 5 días,Entre 1 y 2 días,Todos los días,Todos los días,Todos los días,Entre 1 y 2 días,Todos los días,Todos los días,Nunca ha existido,Nunca ha existido,206,No hubo,Todos los días,Sí,No,Más de 1 año,"Falta de insumos, Falta de equipos, Falta de personal, Falta de profesionales (Nutricionistas, Nutrólogos etc)",,,,,54,390,480,30,30,0,40,10,12,6,0,8,6,0,"< 3 días, con soporte alterno","< 3 días, con soporte alterno","< 3 días, con soporte alterno",Si,1,Menos de 3 días,1899-12-30T18:00:00.000Z,Sí,2019-29,1.0,0.0,3,3,2,2.0,2.0,3,3,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,2,1.0,0,0,0.0,2.0,0.0,1.0,2,1.2758620689655173,0.0,0.0,3.0,3.0,3.0,0.0,,0.0,Venezuela
473,2019-08-04 18:28:34.858000+00:00,31 del 2019,No operativa,,Hay pero no funciona,No,,0.0,,,,,,No operativa,,,,"Violencia contra personal de hospital por familiares, Robos , hurtos o disparos dentro del centro asistencial.",,Entre 3 y 5 días,No hubo,Entre 3 y 5 días,,,Todos los días,,No operativa,Entre 3 y 5 días,Menos de 3 de días,Nunca ha existido,No operativa,Nunca ha existido,Todos los días,CAR000,Todos los días,Entre 1 y 2 días,Entre 3 y 5 días,No hubo,Entre 3 y 5 días,Todos los días,Nunca ha existido,Todos los días,Nunca ha existido,Entre 1 y 2 días,Carabobo,Entre 3 y 5 días,No hubo,No hubo,No hubo,Entre 3 y 5 días,No hubo,Entre 1 y 2 días,Entre 3 y 5 días,Todos los días,No hubo,Tipo IV,No hubo,No hubo,No hubo,No hubo,No hubo,Entre 3 y 5 días,Todos los días,Sí,Sí,,IVSS,,4.0,1.0,,3.0,1.0,3.0,4.0,3.0,Entre 1 y 2 días,456,Entre 3 y 5 días,Entre 1 y 2 días,No hubo,Entre 3 y 5 días,No hubo,Entre 1 y 2 días,Entre 1 y 2 días,Todos los días,Nunca ha existido,Nunca ha existido,206,Entre 3 y 5 días,Entre 1 y 2 días,No,,,,,,,,50,360,480,30,30,0,30,10,12,6,0,8,10,1,"< 3 días, sin soporte alterno (cisternas)",No hubo agua ningún dia,"< 3 días, sin soporte alterno (cisternas)",Si,4,Entre 3 y 5 días,1899-12-30T06:00:00.000Z,No,2019-30,1.0,,3,3,1,2.0,0.0,2,3,,3.0,,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,3,0.0,0,0,0.0,0.0,0.0,2.0,3,,0.0,0.0,3.0,0.0,2.0,1.0,,0.0,Venezuela
861,2019-08-11 22:54:30.730000+00:00,32 del 2019,No operativa,00,Hay pero no funciona,No,0.0,0.0,,0.0,,,,No operativa,,,,,,Entre 3 y 5 días,No hubo,Entre 3 y 5 días,,,Todos los días,,Entre 3 y 5 días,Entre 3 y 5 días,Menos de 3 de días,Nunca ha existido,No operativa,No hubo,Todos los días,CAR000,Entre 1 y 2 días,Entre 3 y 5 días,Entre 1 y 2 días,Entre 1 y 2 días,Entre 1 y 2 días,Entre 3 y 5 días,Nunca ha existido,Todos los días,No hubo,No hubo,Carabobo,Entre 3 y 5 días,No hubo,No hubo,No hubo,No hubo,No hubo,Todos los días,Todos los días,Entre 3 y 5 días,No hubo,Tipo IV,No hubo,No hubo,No hubo,No hubo,No hubo,Entre 1 y 2 días,Entre 3 y 5 días,Sí,Sí,,IVSS,,6.0,0.0,"Falta de material quirúrgico, Falta de insumos médicos, Falta de profesional entrenado (Cirujano)",6.0,3.0,3.0,5.0,3.0,Entre 3 y 5 días,456,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,No hubo,No hubo,206,Entre 3 y 5 días,No hubo,No,,,,,,,,50,360,240,30,30,0,30,10,14,6,0,8,10,0,"< 3 días, con soporte alterno","< 3 días, con soporte alterno","< 3 días, con soporte alterno",Si,2,Menos de 3 días,1899-12-30T01:00:00.000Z,No,2019-31,1.0,0.0,3,1,2,1.0,1.0,1,2,,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2,0.0,0,0,0.0,0.0,0.0,1.0,2,,0.0,0.0,3.0,2.0,2.0,1.0,,0.0,Venezuela
472,2019-08-17 20:09:40.823000+00:00,33 del 2019,No operativa,,Hay pero no funciona,No,,0.0,,0.0,,,,No operativa,,,,,,Todos los días,Nunca ha existido,Entre 3 y 5 días,,,Todos los días,,No operativa,Entre 3 y 5 días,Entre 3 y 5 días,Nunca ha existido,No operativa,No hubo,Todos los días,CAR000,Todos los días,Entre 3 y 5 días,Entre 3 y 5 días,No hubo,Entre 3 y 5 días,Todos los días,No hubo,Todos los días,No hubo,Entre 1 y 2 días,Carabobo,Entre 1 y 2 días,No hubo,Entre 3 y 5 días,Nunca ha existido,Nunca ha existido,No hubo,Todos los días,Todos los días,Entre 3 y 5 días,No hubo,Tipo IV,No hubo,No hubo,No hubo,No hubo,No hubo,No hubo,Todos los días,Sí,Sí,,IVSS,,8.0,0.0,"Falta de material quirúrgico, Falta de insumos médicos, Falta de profesional entrenado (Cirujano)",8.0,2.0,6.0,5.0,3.0,Todos los días,456,Todos los días,Todos los días,Todos los días,Todos los días,Todos los días,Todos los días,Todos los días,Todos los días,No hubo,No hubo,206,Todos los días,Todos los días,No,,,,,,,,50,360,480,30,30,0,30,10,12,8,0,8,10,0,"< 3 días, con soporte alterno","< 3 días, con soporte alterno","< 3 días, con soporte alterno",No,0,Menos de 3 días,1899-12-30T00:00:00.000Z,No,2019-32,1.0,0.0,3,3,2,2.0,0.0,2,3,0.0,3.0,0.0,1.0,1.0,0.0,2.0,,,0.0,3.0,3.0,2,0.0,0,0,0.0,0.0,0.0,0.0,3,,0.0,0.0,3.0,0.0,2.0,2.0,,0.0,Venezuela
791,2019-08-25 01:05:57.865000+00:00,34 del 2019,No operativa,Gasometro ,Hay pero no funciona,No,0.0,0.0,,0.0,,,,No operativa,,,,,,Todos los días,No hubo,Todos los días,,,Todos los días,,Entre 3 y 5 días,Todos los días,Nunca ha existido,Nunca ha existido,No operativa,Todos los días,Todos los días,CAR000,Todos los días,Entre 1 y 2 días,Entre 1 y 2 días,Entre 1 y 2 días,Entre 3 y 5 días,Entre 3 y 5 días,No hubo,Entre 3 y 5 días,No hubo,No hubo,Carabobo,Entre 1 y 2 días,Entre 1 y 2 días,No hubo,Entre 3 y 5 días,No hubo,No hubo,Entre 1 y 2 días,Entre 1 y 2 días,Entre 1 y 2 días,No hubo,Tipo IV,No hubo,No hubo,No hubo,No hubo,No hubo,Entre 1 y 2 días,Entre 1 y 2 días,Sí,Sí,,IVSS,,8.0,0.0,"Falta de material quirúrgico, Falta de insumos médicos, Falta de profesional entrenado (Cirujano)",8.0,3.0,5.0,5.0,3.0,Todos los días,456,Todos los días,Todos los días,Todos los días,Todos los días,Todos los días,Todos los días,Entre 3 y 5 días,Entre 1 y 2 días,No hubo,No hubo,200,Entre 3 y 5 días,Entre 3 y 5 días,No,,,,,,,,50,305,180,30,30,0,30,10,12,8,0,8,10,0,"3 a 5 días , sin soporte  alterno","3 a 5 días , sin soporte  alterno","3 a 5 días , sin soporte  alterno",Si,2,Menos de 3 días,1899-12-30T02:00:00.000Z,Sí,2019-33,1.0,3.0,3,3,1,1.0,1.0,2,2,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1,0.0,0,0,0.0,0.0,0.0,1.0,1,0.9310344827586207,0.0,0.0,3.0,2.0,3.0,,,0.0,Venezuela
860,2019-09-07 13:08:56.437000+00:00,35 del 2019,No operativa,Gasometro,Hay pero no funciona,No,0.0,0.0,,,,,,No operativa,,,,,,Todos los días,Nunca ha existido,Todos los días,,,Todos los días,,No operativa,Entre 3 y 5 días,Nunca ha existido,Nunca ha existido,No operativa,Entre 1 y 2 días,Todos los días,CAR000,Entre 1 y 2 días,Entre 1 y 2 días,No hubo,No hubo,Entre 3 y 5 días,Entre 3 y 5 días,No hubo,No hubo,No hubo,Entre 3 y 5 días,Carabobo,Entre 1 y 2 días,No hubo,No hubo,No hubo,No hubo,Entre 1 y 2 días,Entre 1 y 2 días,Entre 3 y 5 días,Entre 1 y 2 días,No hubo,Tipo IV,No hubo,No hubo,No hubo,Entre 1 y 2 días,No hubo,No hubo,Entre 3 y 5 días,Sí,Sí,,IVSS,,6.0,0.0,,6.0,1.0,5.0,5.0,3.0,Todos los días,456,Todos los días,Todos los días,Todos los días,Todos los días,,Todos los días,Todos los días,Entre 3 y 5 días,Nunca ha existido,Nunca ha existido,206,Entre 3 y 5 días,Entre 3 y 5 días,No,,,,,,,,50,360,420,30,30,0,30,6,12,8,0,8,10,0,No hubo agua ningún dia,"< 3 días, sin soporte alterno (cisternas)","< 3 días, sin soporte alterno (cisternas)",Si,2,Menos de 3 días,1899-12-30T06:00:00.000Z,Sí,2019-34,1.0,1.0,3,1,1,0.0,0.0,2,2,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1,0.0,0,0,0.0,1.0,0.0,0.0,2,0.7241379310344828,0.0,0.0,3.0,0.0,2.0,,,0.0,Venezuela
873,2019-09-07 13:14:34.530000+00:00,36 del 2019,No operativa,"Aires acondicionado y gasometro, microondas",Hay pero no funciona,No,0.0,0.0,,0.0,,,,No operativa,,,,,,Todos los días,Nunca ha existido,Todos los días,,,Todos los días,,No operativa,Entre 3 y 5 días,Nunca ha existido,Nunca ha existido,No operativa,Entre 1 y 2 días,Todos los días,CAR000,Entre 1 y 2 días,Entre 1 y 2 días,Entre 1 y 2 días,No hubo,Todos los días,Todos los días,No hubo,No hubo,No hubo,Entre 3 y 5 días,Carabobo,Entre 1 y 2 días,No hubo,No hubo,No hubo,No hubo,Entre 1 y 2 días,Entre 3 y 5 días,Todos los días,Entre 3 y 5 días,No hubo,Tipo IV,No hubo,No hubo,No hubo,Entre 1 y 2 días,No hubo,No hubo,Todos los días,Sí,Sí,,IVSS,,4.0,0.0,,4.0,0.0,4.0,5.0,3.0,Todos los días,456,Todos los días,Todos los días,Todos los días,Todos los días,Todos los días,Todos los días,Entre 3 y 5 días,Entre 3 y 5 días,Nunca ha existido,Nunca ha existido,206,Entre 3 y 5 días,Nunca ha existido,No,,,,,,,,50,480,360,30,30,0,30,6,12,8,0,8,10,0,No hubo agua ningún dia,"< 3 días, sin soporte alterno (cisternas)","< 3 días, sin soporte alterno (cisternas)",Si,4,Entre 3 y 5 días,1900-01-01T00:00:00.000Z,Sí,2019-35,1.0,1.0,3,1,1,1.0,0.0,3,3,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2,0.0,0,0,0.0,1.0,0.0,0.0,3,0.9655172413793104,0.0,0.0,3.0,0.0,2.0,,,0.0,Venezuela
870,2019-09-17 20:19:13.504000+00:00,37 del 2019,No operativa,Gasometro y aire acondicionado emergencia,Hay pero no funciona,No,0.0,,,,,,,No operativa,,,,,,Todos los días,Nunca ha existido,Todos los días,,,Todos los días,,No operativa,Entre 3 y 5 días,No operativa,Nunca ha existido,No operativa,No hubo,Todos los días,CAR000,Entre 1 y 2 días,Entre 1 y 2 días,Entre 1 y 2 días,No hubo,Entre 3 y 5 días,No hubo,No hubo,No hubo,No hubo,Entre 1 y 2 días,Carabobo,No hubo,Entre 1 y 2 días,No hubo,No hubo,No hubo,Entre 1 y 2 días,Entre 3 y 5 días,Todos los días,No hubo,No hubo,Tipo IV,No hubo,No hubo,No hubo,Entre 1 y 2 días,No hubo,Entre 3 y 5 días,Entre 1 y 2 días,Sí,Sí,,IVSS,,8.0,0.0,,8.0,3.0,5.0,5.0,3.0,Todos los días,456,Todos los días,Todos los días,Todos los días,Todos los días,Todos los días,Todos los días,Entre 3 y 5 días,Entre 3 y 5 días,Nunca ha existido,Nunca ha existido,206,Entre 3 y 5 días,Entre 3 y 5 días,No,,,,,,,,50,420,600,30,30,0,30,20,12,8,0,8,10,0,"< 3 días, sin soporte alterno (cisternas)","< 3 días, sin soporte alterno (cisternas)","< 3 días, sin soporte alterno (cisternas)",Si,4,Menos de 3 días,1899-12-31T00:00:00.000Z,Sí,2019-36,1.0,0.0,3,1,1,1.0,0.0,2,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0,0.0,0,0,0.0,1.0,0.0,2.0,1,0.6896551724137931,0.0,0.0,3.0,0.0,2.0,0.0,,0.0,Venezuela
857,2019-09-29 21:22:44.828000+00:00,38 del 2019,No operativa,,Hay pero no funciona,No,0.0,0.0,,0.0,,,,No operativa,,,,,,Entre 3 y 5 días,Nunca ha existido,Entre 3 y 5 días,,,Entre 3 y 5 días,,Menos de 3 de días,Entre 3 y 5 días,Nunca ha existido,Nunca ha existido,No operativa,No hubo,Entre 3 y 5 días,CAR000,No hubo,Entre 1 y 2 días,Entre 1 y 2 días,No hubo,Entre 1 y 2 días,Entre 1 y 2 días,No hubo,No hubo,No hubo,No hubo,Carabobo,Entre 1 y 2 días,No hubo,No hubo,No hubo,No hubo,Entre 1 y 2 días,No hubo,Entre 1 y 2 días,No hubo,No hubo,Tipo IV,No hubo,No hubo,No hubo,Entre 1 y 2 días,No hubo,No hubo,Entre 1 y 2 días,Sí,Sí,,IVSS,,8.0,0.0,,8.0,6.0,2.0,5.0,3.0,Entre 3 y 5 días,456,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,No hubo,No hubo,206,Entre 3 y 5 días,No hubo,No,,,,,,,,50,480,360,30,30,0,30,10,14,8,0,8,10,0,"< 3 días, sin soporte alterno (cisternas)","< 3 días, sin soporte alterno (cisternas)","< 3 días, sin soporte alterno (cisternas)",Si,3,Menos de 3 días,1899-12-30T06:00:00.000Z,No,2019-37,1.0,0.0,2,0,1,1.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0,0,0.0,1.0,0.0,0.0,1,0.3793103448275862,0.0,0.0,2.0,1.0,2.0,,,0.0,Venezuela
854,2019-09-29 21:29:01.308000+00:00,39 del 2019,No operativa,,Hay pero no funciona,No,0.0,0.0,,,,,,No operativa,,,,,,Entre 3 y 5 días,Nunca ha existido,Entre 3 y 5 días,,,Entre 3 y 5 días,,No operativa,No operativa,Nunca ha existido,Nunca ha existido,No operativa,No hubo,No hubo,CAR000,No hubo,Entre 1 y 2 días,Entre 1 y 2 días,No hubo,Entre 1 y 2 días,Entre 1 y 2 días,No hubo,No hubo,No hubo,No hubo,Carabobo,No hubo,No hubo,No hubo,No hubo,No hubo,Entre 1 y 2 días,No hubo,Entre 1 y 2 días,No hubo,No hubo,Tipo IV,No hubo,No hubo,No hubo,No hubo,Entre 1 y 2 días,No hubo,Entre 1 y 2 días,Sí,Sí,,IVSS,,6.0,0.0,,6.0,6.0,0.0,5.0,3.0,Entre 3 y 5 días,456,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,No hubo,No hubo,206,Entre 3 y 5 días,No hubo,No,,,,,,,,50,360,360,30,30,0,30,10,12,8,0,8,10,0,"< 3 días, sin soporte alterno (cisternas)","< 3 días, sin soporte alterno (cisternas)","< 3 días, sin soporte alterno (cisternas)",Si,2,Entre 3 y 5 días,1899-12-30T08:00:00.000Z,No,2019-38,1.0,0.0,0,0,1,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0,0,0.0,0.0,1.0,0.0,1,0.27586206896551724,0.0,0.0,2.0,0.0,0.0,,,0.0,Venezuela
869,2019-10-11 23:10:21.950000+00:00,40 del 2019,No operativa,,Hay pero no funciona,No,,0.0,,,,,,No operativa,,,,,,Entre 3 y 5 días,No hubo,Entre 3 y 5 días,,,Todos los días,,No operativa,Todos los días,Nunca ha existido,Nunca ha existido,No operativa,No hubo,Todos los días,CAR000,No hubo,Entre 1 y 2 días,Entre 1 y 2 días,No hubo,Entre 1 y 2 días,Entre 1 y 2 días,No hubo,No hubo,No hubo,No hubo,Carabobo,No hubo,No hubo,No hubo,No hubo,No hubo,No hubo,No hubo,Todos los días,Entre 1 y 2 días,No hubo,Tipo IV,No hubo,No hubo,No hubo,No hubo,No hubo,No hubo,Todos los días,Sí,Sí,,IVSS,,6.0,0.0,,6.0,0.0,6.0,5.0,3.0,Entre 3 y 5 días,456,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Nunca ha existido,Nunca ha existido,50,Entre 3 y 5 días,Nunca ha existido,Sí,No,Más de 1 año,"Falta de insumos, Falta de equipos, Falta de personal, Falta de profesionales (Nutricionistas, Nutrólogos etc)",,,,,26,360,240,30,30,0,30,30,12,8,0,8,10,0,No hubo agua ningún dia,No hubo agua ningún dia,No hubo agua ningún dia,Si,2,Menos de 3 días,1899-12-30T07:00:00.000Z,No,2019-39,1.0,0.0,3,0,1,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0.0,0,0,0.0,0.0,0.0,0.0,3,0.4827586206896552,0.0,0.0,3.0,0.0,3.0,,,0.0,Venezuela
180,2019-10-11 23:17:06.708000+00:00,41 del 2019,No operativa,,Hay pero no funciona,No,,0.0,,0.0,,,,No operativa,,,,,,,,,,,Todos los días,,No operativa,Todos los días,Nunca ha existido,Nunca ha existido,No operativa,No hubo,Todos los días,CAR000,No hubo,Entre 1 y 2 días,Entre 1 y 2 días,No hubo,Entre 1 y 2 días,Entre 1 y 2 días,No hubo,No hubo,No hubo,No hubo,Carabobo,No hubo,No hubo,No hubo,No hubo,No hubo,No hubo,No hubo,No hubo,Entre 1 y 2 días,No hubo,Tipo IV,No hubo,No hubo,No hubo,No hubo,No hubo,No hubo,No hubo,Sí,No,Mas de 1 año,IVSS,"Falta de material quirúrgico, Falta de insumos médicos, Falta de equipo nefrológico(máquinas de diálisis), Falta de profesionales especializados (Nefrólogo, Cirujano, etc)",,,,,,,,,,456,,,,,,,,,,,50,,,No,,,,,,,,20,420,480,30,30,0,30,10,12,8,0,8,10,0,No hubo agua ningún dia,No hubo agua ningún dia,No hubo agua ningún dia,Si,1,Menos de 3 días,1899-12-30T08:00:00.000Z,No,2019-40,1.0,0.0,3,0,1,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0.27586206896551724,0.0,0.0,3.0,0.0,3.0,,,0.0,Venezuela
863,2019-10-26 14:21:53.887000+00:00,42 del 2019,No operativa,,Hay pero no funciona,No,,0.0,,,,,,No operativa,,,,,,Entre 3 y 5 días,Nunca ha existido,Entre 3 y 5 días,,,Todos los días,,Entre 3 y 5 días,Entre 3 y 5 días,Nunca ha existido,Nunca ha existido,No operativa,Entre 1 y 2 días,Entre 1 y 2 días,CAR000,Entre 1 y 2 días,Entre 3 y 5 días,Entre 1 y 2 días,No hubo,Entre 1 y 2 días,Entre 1 y 2 días,Nunca ha existido,Nunca ha existido,Nunca ha existido,Nunca ha existido,Carabobo,Nunca ha existido,Nunca ha existido,Nunca ha existido,Nunca ha existido,Nunca ha existido,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Tipo IV,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Sí,Sí,,IVSS,,8.0,0.0,"Falta de material quirúrgico, Falta de insumos médicos, Falta de profesional entrenado (Cirujano)",8.0,0.0,8.0,5.0,3.0,Entre 3 y 5 días,456,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Entre 3 y 5 días,Nunca ha existido,Nunca ha existido,206,Entre 3 y 5 días,Entre 3 y 5 días,Sí,Sí,,,,,,,50,480,360,30,30,0,30,0,12,8,0,8,6,0,No hubo agua ningún dia,No hubo agua ningún dia,No hubo agua ningún dia,Si,3,Entre 3 y 5 días,1899-12-30T04:00:00.000Z,No,2019-41,1.0,1.0,1,1,2,1.0,0.0,1,1,,,,,,,,,,2.0,2.0,2.0,2,2.0,2,2,2.0,2.0,2.0,2.0,2,,0.0,0.0,3.0,2.0,2.0,,,0.0,Venezuela
